"Codigo","Descricao","Pasta","Familia","Subfamilia","Segmento","TemProjeto","TemBloco","TemRender"
"S150112","MODULO COMPLEMENTO ESCORREDOR P EMBALAGEM E SACHES C PRATELEIRAS","D:\2022\LINHA DELIVERY\S150112 - MODULO COMPLEMENTO ESCORREDOR P EMBALAGEM E SACHES C PRATELEIRAS","LINHA DELIVERY","S150112 - MODULO COMPLEMENTO ESCORREDOR P EMBALAGEM E SACHES C PRATELEIRAS","","True","True","True"
"S150114","CHAPA ELÉTRICA LA 300MM 300X680X325MM","D:\2022\PROTOTIPOS\S150114 - CHAPA ELÉTRICA LA 300MM 300X680X325MM","PROTOTIPOS","S150114 - CHAPA ELÉTRICA LA 300MM 300X680X325MM","","True","True","True"
"S150115","CHAPA ELÉTRICA LA 600MM 600X680X325MM","D:\2022\PROTOTIPOS\S150115 - CHAPA ELÉTRICA LA 600MM 600X680X325MM","PROTOTIPOS","S150115 - CHAPA ELÉTRICA LA 600MM 600X680X325MM","","True","True","True"
"S150116","CHAPA ELÉTRICA LA 900MM 900X680X325MM","D:\2022\COCÇÃO\LINHA AMERICANA\ELÉTRICA\CHAPA\S150116 - CHAPA ELÉTRICA LA 900MM 900X680X325MM","COCÇÃO","LINHA AMERICANA","ELÉTRICA","True","True","True"
"S150117","FOGÃO ELÉTRICO LA 300mm 300X680X325mm","D:\2022\PROTOTIPOS\S150117 - FOGÃO ELÉTRICO LA 300mm 300X680X325mm","PROTOTIPOS","S150117 - FOGÃO ELÉTRICO LA 300mm 300X680X325mm","","True","True","True"
"S150119","FOGÃO ELÉTRICO LA 900mm 900X680X325mm","D:\2022\PROTOTIPOS\S150119 - FOGÃO ELÉTRICO LA 900mm 900X680X325mm","PROTOTIPOS","S150119 - FOGÃO ELÉTRICO LA 900mm 900X680X325mm","","True","True","True"
"S150120","CHAR BROILER ELÉTRICO LA 300mm 300X680X325","D:\2022\PROTOTIPOS\S150120 - CHAR BROILER ELÉTRICO LA 300mm 300X680X325","PROTOTIPOS","S150120 - CHAR BROILER ELÉTRICO LA 300mm 300X680X325","","True","True","True"
"S150121","CHAR BROILER ELÉTRICO LA 600mm 600X680X325","D:\2022\PROTOTIPOS\S150121 - CHAR BROILER ELÉTRICO LA 600mm 600X680X325","PROTOTIPOS","S150121 - CHAR BROILER ELÉTRICO LA 600mm 600X680X325","","True","True","True"
"S150122","CHAR BROILER ELÉTRICO LA 900mm 900X680X325","D:\2022\PROTOTIPOS\S150122 - CHAR BROILER ELÉTRICO LA 900mm 900X680X325","PROTOTIPOS","S150122 - CHAR BROILER ELÉTRICO LA 900mm 900X680X325","","True","True","True"
"S150123","TAMPA PARA FRITADEIRA LINHA AMERICANA GÁS","D:\2022\COCÇÃO\LINHA AMERICANA\FRITADEIRA\S150123 - TAMPA PARA FRITADEIRA LINHA AMERICANA GÁS","COCÇÃO","LINHA AMERICANA","FRITADEIRA","True","True","True"
"S150124","TAMPA PARA FRITADEIRA LINHA AMERICANA ELÉTRICA","D:\2022\COCÇÃO\LINHA AMERICANA\FRITADEIRA\S150124 - TAMPA PARA FRITADEIRA LINHA AMERICANA ELÉTRICA","COCÇÃO","LINHA AMERICANA","FRITADEIRA","True","True","True"
"S150128","PEGADORDOSADOR DE BATATAS","D:\2022\COCÇÃO\LINHA AMERICANA\KITS\S150128 - PEGADORDOSADOR DE BATATAS","COCÇÃO","LINHA AMERICANA","KITS","True","True","True"
"S150129","FRITADEIRA ELETRICA FULL 23L 220V LA - 400X750X1100MM","D:\2022\COCÇÃO\LINHA AMERICANA\FRITADEIRA\S150129 - FRITADEIRA ELETRICA FULL 23L 220V LA - 400X750X1100MM","COCÇÃO","LINHA AMERICANA","FRITADEIRA","True","False","False"
"S150130","FRITADEIRA ELETRICA SPLI 23L (11,5+11,5) 220V LA -400X750X1100MM","D:\2022\COCÇÃO\LINHA AMERICANA\FRITADEIRA\S150130 - FRITADEIRA ELETRICA SPLI 23L (11,5+11,5) 220V LA -400X750X1100MM","COCÇÃO","LINHA AMERICANA","FRITADEIRA","True","True","True"
"S150131","CARRO FILTRO DE OLEO INOX 304 - 612X582X1013MM","D:\2022\AUXILIARES\CARROS\CARRO FILTRO DE OLEO\S150131 - CARRO FILTRO DE OLEO INOX 304 - 612X582X1013MM","AUXILIARES","CARROS","CARRO FILTRO DE OLEO","True","True","True"
"S150132","CHAPA ELÉTRICA LA 1200MM 1200X680X325MM","D:\2022\PROTOTIPOS\S150132 - CHAPA ELÉTRICA LA 1200MM 1200X680X325MM","PROTOTIPOS","S150132 - CHAPA ELÉTRICA LA 1200MM 1200X680X325MM","","True","True","True"
"S150133","CHAR BROILER ELÉTRICO LA 1200MM 1200X680X325MM","D:\2022\COCÇÃO\LINHA AMERICANA\ELÉTRICA\CHAR BROILER\S150133 - CHAR BROILER ELÉTRICO LA 1200MM 1200X680X325MM","COCÇÃO","LINHA AMERICANA","ELÉTRICA","True","True","True"
"S150134","CHAPA A GAS GLP LA 300MM 300X680X325MM","D:\2022\COCÇÃO\LINHA AMERICANA\CHAPA\S150134 - CHAPA A GAS GLP LA 300MM 300X680X325MM","COCÇÃO","LINHA AMERICANA","CHAPA","True","True","True"
"S150135","CHAR BROILER A GAS GLP LA 330MM 330X680X325MM","D:\2022\COCÇÃO\LINHA AMERICANA\CHAR BROILER\S150135 - CHAR BROILER A GAS GLP LA 330MM 330X680X325MM","COCÇÃO","LINHA AMERICANA","CHAR BROILER","True","True","True"
"S150136","CHAPA A GAS GN LA 300MM 300X680X325MM","D:\2022\COCÇÃO\LINHA AMERICANA\CHAPA\S150136 - CHAPA A GAS GN LA 300MM 300X680X325MM","COCÇÃO","LINHA AMERICANA","CHAPA","True","True","True"
"S150137","CHAR BROILER A GAS GN LA 330MM 330X680X325MM","D:\2022\COCÇÃO\LINHA AMERICANA\CHAR BROILER\S150137 - CHAR BROILER A GAS GN LA 330MM 330X680X325MM","COCÇÃO","LINHA AMERICANA","CHAR BROILER","True","True","True"
"S150139","BASE DE APOIO TUBULAR LA 470X660x670 MM","D:\2022\COCÇÃO\LINHA AMERICANA\BASE APOIO\S150139 - BASE DE APOIO TUBULAR LA 470X660x670 MM","COCÇÃO","LINHA AMERICANA","BASE APOIO","True","True","True"
"S150141","CHAR BROILER ELÉTRICO LA 600mm 600X680X325 MM 380 TRIFÁSICO","D:\2022\PROTOTIPOS\S150141 - CHAR BROILER ELÉTRICO LA 600mm 600X680X325 MM 380 TRIFÁSICO","PROTOTIPOS","S150141 - CHAR BROILER ELÉTRICO LA 600mm 600X680X325 MM 380 TRIFÁSICO","","True","True","True"
"S150144","BASE DE APOIO TUBULAR LA 350X660X670 MM","D:\2022\COCÇÃO\LINHA AMERICANA\BASE APOIO\S150144 - BASE DE APOIO TUBULAR LA 350X660X670 MM","COCÇÃO","LINHA AMERICANA","BASE APOIO","True","True","True"
"S150145","CHAPA LA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA","D:\2022\COCÇÃO\LINHA AMERICANA\CHAPA\S150145 - CHAPA LA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA","COCÇÃO","LINHA AMERICANA","CHAPA","True","True","True"
"S150149","CHAPA ELÉTRICA LA 1200MM 1200X680X325MM 380V","D:\2022\COCÇÃO\LINHA AMERICANA\ELÉTRICA\CHAPA\S150149 - CHAPA ELÉTRICA LA 1200MM 1200X680X325MM 380V","COCÇÃO","LINHA AMERICANA","ELÉTRICA","True","True","True"
"S150153","CHURRASQUEIRA BRASEIRO GRILL MED. 255x750x326mm","D:\2022\AUXILIARES\S150153 - CHURRASQUEIRA BRASEIRO GRILL MED. 255x750x326mm","AUXILIARES","S150153 - CHURRASQUEIRA BRASEIRO GRILL MED. 255x750x326mm","","False","False","False"
"S150157","FRITADEIRA ELETRICA 3 TANQUES 23L (7,6+7,6+7,6) 220V LA - 600X750X1200MM","D:\2022\PROTOTIPOS\S150157 - FRITADEIRA ELETRICA 3 TANQUES 23L (7,6+7,6+7,6) 220V LA - 600X750X1200MM","PROTOTIPOS","S150157 - FRITADEIRA ELETRICA 3 TANQUES 23L (7,6+7,6+7,6) 220V LA - 600X750X1200MM","","True","True","True"
"S150191","CHAPA BIFEIRA DE SOBREPOR P FOGAO INDUSTRIAL  - AÇO CARBONO 1020 - 420X880","D:\2022\COCÇÃO\ACESSORIOS\S150191 -  CHAPA BIFEIRA DE SOBREPOR P FOGAO INDUSTRIAL  - AÇO CARBONO 1020 - 420X880","COCÇÃO","ACESSORIOS","S150191 -  CHAPA BIFEIRA DE SOBREPOR P FOGAO INDUSTRIAL  - AÇO CARBONO 1020 - 420X880","True","True","True"
"S150201","CHAPA A GAS GLP L700 720X750X270MM","D:\2022\COCÇÃO\LINHA PROFISSIONAL\LINHA 700\2024\S150201 - CHAPA A GAS GLP L700 720X750X270MM","COCÇÃO","LINHA PROFISSIONAL","LINHA 700","True","False","False"
"S150203","CHAPA ELETRICA L700 360X750X270MM 220V TRIF","D:\2022\COCÇÃO\LINHA PROFISSIONAL\LINHA 700\CHAPA\S150203 - CHAPA ELETRICA L700 360X750X270MM 220V TRIF","COCÇÃO","LINHA PROFISSIONAL","LINHA 700","True","True","True"
"S150207","CHAPA A GAS L700 720MM GN 720X750X270MM","D:\2022\COCÇÃO\LINHA PROFISSIONAL\LINHA 700\2024\CHAPA\S150207 - CHAPA A GAS L700 720MM GN 720X750X270MM","COCÇÃO","LINHA PROFISSIONAL","LINHA 700","True","True","True"
"S150251","CHAR BROILER A GAS L700 720 MM","D:\2022\COCÇÃO\LINHA PROFISSIONAL\LINHA 700\2024\CHAR BROILER\S150251 - CHAR BROILER A GAS L700 720 MM","COCÇÃO","LINHA PROFISSIONAL","LINHA 700","False","False","False"
"S150253","CHAIR BROILER ELETRICO L700 360X750X900mm 220V TRI F","D:\2022\COCÇÃO\LINHA PROFISSIONAL\LINHA 700\CHAIR BROILER\S150253 - CHAIR BROILER ELETRICO L700 360X750X900mm 220V TRI F","COCÇÃO","LINHA PROFISSIONAL","LINHA 700","True","True","True"
"S150254","CHAIR BROILER ELÉTRICO L700 720X750X900mm 220V TRI F","D:\2022\COCÇÃO\LINHA PROFISSIONAL\LINHA 700\CHAIR BROILER\S150254 - CHAIR BROILER ELÉTRICO L700 720X750X900mm 220V TRI F","COCÇÃO","LINHA PROFISSIONAL","LINHA 700","True","True","True"
"S150267","PRATELEIRA PERFURADA INOX REFRIGERACAO VERTICAL","D:\2022\REFRIGERAÇÃO\PRATELEIRA PERFURADA\S150267 - PRATELEIRA PERFURADA INOX REFRIGERACAO VERTICAL","REFRIGERAÇÃO","PRATELEIRA PERFURADA","S150267 - PRATELEIRA PERFURADA INOX REFRIGERACAO VERTICAL","True","True","True"
"S150268","PRATELEIRA PERFURADA INOX REFRIGERACAO HORIZONTAL","D:\2022\REFRIGERAÇÃO\PRATELEIRA PERFURADA\S150268 - PRATELEIRA PERFURADA INOX REFRIGERACAO HORIZONTAL","REFRIGERAÇÃO","PRATELEIRA PERFURADA","S150268 - PRATELEIRA PERFURADA INOX REFRIGERACAO HORIZONTAL","True","True","True"
"S150275","PRATELEIRA PERFURADA INOX 650x535","D:\2022\REFRIGERAÇÃO\ACESSORIOS\PRATELEIRAS\S150275-PRATELEIRA PERFURADA INOX 650x535","REFRIGERAÇÃO","ACESSORIOS","PRATELEIRAS","False","False","False"
"S150279","CONSERVADOR DE PROTEINAS INOX P 8 GNS PASS THRU- 920X368X377MM","D:\2022\DISTRIBUIÇÃO\CONSERVADOR DE PROTEÍNAS\S150279 - CONSERVADOR DE PROTEINAS INOX P 8 GNS PASS THRU- 920X368X377MM","DISTRIBUIÇÃO","CONSERVADOR DE PROTEÍNAS","S150279 - CONSERVADOR DE PROTEINAS INOX P 8 GNS PASS THRU- 920X368X377MM","True","True","True"
"S150304","CONSERVADOR DE PROTEINAS INOX PARA 8 GN'S DE ENCOSTO 900X368X377 MM","D:\2022\DISTRIBUIÇÃO\CONSERVADOR DE PROTEÍNAS\S150304 - CONSERVADOR DE PROTEINAS INOX PARA 8 GN'S DE ENCOSTO 900X368X377 MM","DISTRIBUIÇÃO","CONSERVADOR DE PROTEÍNAS","S150304 - CONSERVADOR DE PROTEINAS INOX PARA 8 GN'S DE ENCOSTO 900X368X377 MM","True","True","True"
"S150305","BANCADA DE APOIO P FORNO COMB. TAMPO CTO 900X800X700","D:\2022\MOBILIARIO\MESAS\MESA P FORNO COMBINADO\S150305 - BANCADA DE APOIO P FORNO COMB. TAMPO CTO 900X800X700","MOBILIARIO","MESAS","MESA P FORNO COMBINADO","True","True","True"
"S150321","FOGAO A GAS 4 QUEIMADORES L700 720 MM","D:\2022\COCÇÃO\LINHA PROFISSIONAL\LINHA 700\2024\FOGÃO\S150321 - FOGAO A GAS 4 QUEIMADORES L700 720 MM","COCÇÃO","LINHA PROFISSIONAL","LINHA 700","True","True","True"
"S150325","FOGAO INDUSTRIAL INOX 04 QD ENCOSTO 1000X1000X900","D:\2022\COCÇÃO\LINHA INDÚSTRIAL\FOGÃO\S150325 - FOGAO INDUSTRIAL INOX 04 QD ENCOSTO 1000X1000X900","COCÇÃO","LINHA INDÚSTRIAL","FOGÃO","True","True","True"
"S150326","FOGAO INDUSTRIAL INOXIDAVEL O6 QD ENCOSTO - 1500X1000X900","D:\2022\COCÇÃO\LINHA INDÚSTRIAL\FOGÃO\S150326 - FOGAO INDUSTRIAL INOXIDAVEL O6 QD ENCOSTO - 1500X1000X900","COCÇÃO","LINHA INDÚSTRIAL","FOGÃO","True","False","False"
"S150327","FOGAO INDUSTRIAL INOX 08 QD ENCOSTO GÁS GLP 2000X1000X900","D:\2022\COCÇÃO\LINHA INDÚSTRIAL\FOGÃO\S150327 - FOGAO INDUSTRIAL INOX 08 QD ENCOSTO GÁS GLP 2000X1000X900","COCÇÃO","LINHA INDÚSTRIAL","FOGÃO","True","False","False"
"S150330","FOGAO INDUSTRIAL INOXIDÁVEL-430 08 QD CENTRO GÁS GLP 2000X1000X900","D:\2022\COCÇÃO\LINHA INDÚSTRIAL\FOGÃO\S150330 - FOGAO INDUSTRIAL INOXIDÁVEL-430 08 QD CENTRO GÁS GLP 2000X1000X900","COCÇÃO","LINHA INDÚSTRIAL","FOGÃO","False","False","False"
"S150333","BANHO MARIA A GAS GLP INOX 1000X1000X900 MM","D:\2022\COCÇÃO\LINHA INDÚSTRIAL\BANHO MARIA\S150333 - BANHO MARIA A GAS GLP INOX 1000X1000X900 MM","COCÇÃO","LINHA INDÚSTRIAL","BANHO MARIA","True","False","False"
"S150337","FORNO A GAS GLP 2 CAMARA INOX 850X900X1400MM","D:\2022\COCÇÃO\LINHA INDÚSTRIAL\FORNO\S150337 - FORNO A GAS GLP 2 CAMARA INOX 850X900X1400MM","COCÇÃO","LINHA INDÚSTRIAL","FORNO","True","True","True"
"S150340","FOGAO INDUSTRIAL INOX 02 QD ENCOSTO 1000X500X900","D:\2022\COCÇÃO\LINHA INDÚSTRIAL\FOGÃO\S150340 - FOGAO INDUSTRIAL INOX 02 QD ENCOSTO 1000X500X900","COCÇÃO","LINHA INDÚSTRIAL","FOGÃO","True","True","True"
"S150341","CONSERVADOR DE  PROTEINAS INOX PARA 6GN'S DE ENCOSTO - 736X368X377 MM","D:\2022\DISTRIBUIÇÃO\CONSERVADOR DE PROTEÍNAS\S150341 - CONSERVADOR DE  PROTEINAS INOX PARA 6GN'S DE ENCOSTO - 736X368X377 MM","DISTRIBUIÇÃO","CONSERVADOR DE PROTEÍNAS","S150341 - CONSERVADOR DE  PROTEINAS INOX PARA 6GN'S DE ENCOSTO - 736X368X377 MM","True","True","True"
"S150342","CONSERVADOR DE  PROTEINAS PASS THRU INOX 715X368X377 MM","D:\2022\DISTRIBUIÇÃO\CONSERVADOR DE PROTEÍNAS\S150342 - CONSERVADOR DE  PROTEINAS PASS THRU INOX 715X368X377 MM","DISTRIBUIÇÃO","CONSERVADOR DE PROTEÍNAS","S150342 - CONSERVADOR DE  PROTEINAS PASS THRU INOX 715X368X377 MM","True","True","True"
"S150343","CONSERVADOR DE  PROTEINAS PARA 4 GN'S INOX 551x368x377 MM","D:\2022\DISTRIBUIÇÃO\CONSERVADOR DE PROTEÍNAS\S150343-CONSERVADOR DE  PROTEINAS PARA 4 GN'S INOX 551x368x377 MM","DISTRIBUIÇÃO","CONSERVADOR DE PROTEÍNAS","S150343-CONSERVADOR DE  PROTEINAS PARA 4 GN'S INOX 551x368x377 MM","True","True","True"
"S150347","TOSTADOR VERTICAL PARA PAES ANALOGICO INOX 430 500X250X560MM","D:\2022\LINHA DELIVERY\S150347 - TOSTADOR VERTICAL PARA PAES ANALOGICO INOX 430 500X250X560MM","LINHA DELIVERY","S150347 - TOSTADOR VERTICAL PARA PAES ANALOGICO INOX 430 500X250X560MM","","True","True","True"
"S150361","CHAR BROILER A GAS GN LA 600MM 600X680X325MM","D:\2022\0-ARQUIVOS\JAMERSON\PEÇAS SAMUEL\S150361 - CHAR BROILER A GAS GN LA 600MM 600X680X325MM","0-ARQUIVOS","JAMERSON","PEÇAS SAMUEL","True","True","True"
"S150367","FOGAO ELETRICO 2 QUEIMADORES L700 220V 360X750X270MM","D:\2022\PROTOTIPOS\S150367 - FOGAO ELETRICO 2 QUEIMADORES L700 220V 360X750X270MM","PROTOTIPOS","S150367 - FOGAO ELETRICO 2 QUEIMADORES L700 220V 360X750X270MM","","True","True","True"
"S150368","TOSTADOR VERTICAL PARA PAES DIGITAL INOX 430 - 500X250X560MM","D:\2022\LINHA DELIVERY\S150368 - TOSTADOR VERTICAL PARA PAES DIGITAL INOX 430 - 500X250X560MM","LINHA DELIVERY","S150368 - TOSTADOR VERTICAL PARA PAES DIGITAL INOX 430 - 500X250X560MM","","True","True","True"
"S150374","CHAR BROILER HÍBRIDO A GAS GLP LA 600MM C GRELHA CHAPA E RASPADOR","D:\2022\COCÇÃO\LINHA AMERICANA\CHAR BROILER\S150374 - CHAR BROILER HÍBRIDO A GAS GLP LA 600MM C GRELHA CHAPA E RASPADOR","COCÇÃO","LINHA AMERICANA","CHAR BROILER","True","True","True"
"S150380","FOGAO INDUSTRIAL INOX 08 QD CENTRO GÁS GN 2000X1000X900","D:\2022\COCÇÃO\LINHA INDÚSTRIAL\FOGÃO\S150380 - FOGAO INDUSTRIAL INOX 08 QD CENTRO GÁS GN 2000X1000X900","COCÇÃO","LINHA INDÚSTRIAL","FOGÃO","True","False","False"
"S150383","FOGAO A GAS GN 6 QUEIMADORES L700 1080MM","D:\2022\COCÇÃO\LINHA PROFISSIONAL\LINHA 700\2024\FOGÃO\S150383 - FOGAO A GAS GN 6 QUEIMADORES L700 1080MM","COCÇÃO","LINHA PROFISSIONAL","LINHA 700","True","True","True"
"S150384","CONSERVADOR DE PROTEINAS INOX 8GNS PASS THRU-920X368X377MM PAINEL DIGITAL","D:\2022\DISTRIBUIÇÃO\CONSERVADOR DE PROTEÍNAS\S150384 - CONSERVADOR DE PROTEINAS INOX 8GNS PASS THRU-920X368X377MM PAINEL DIGITAL","DISTRIBUIÇÃO","CONSERVADOR DE PROTEÍNAS","S150384 - CONSERVADOR DE PROTEINAS INOX 8GNS PASS THRU-920X368X377MM PAINEL DIGITAL","False","False","False"
"S150451","COZEDOR DE MASSA A GAS GLP L700 360MM","D:\2022\COCÇÃO\LINHA PROFISSIONAL\LINHA 700\2024\S150451 - COZEDOR DE MASSA A GAS GLP L700 360MM","COCÇÃO","LINHA PROFISSIONAL","LINHA 700","True","True","True"
"S150521","COIFA DE ENCOSTO C FILTROS E ILUMINAÇÃO-304- 1260X900X450 MM","D:\2022\EXAUSTÃO\COIFAS\ENCOSTO\S150521 - COIFA DE ENCOSTO C FILTROS E ILUMINAÇÃO-304- 1260X900X450 MM","EXAUSTÃO","COIFAS","ENCOSTO","True","True","True"
"S150524","COIFA DE ENCOSTO C- FILTROS E ILUMINAÇÃO - 304 - 2340X900X450MM","D:\2022\EXAUSTÃO\COIFAS\ENCOSTO\S150524 - COIFA DE ENCOSTO C- FILTROS E ILUMINAÇÃO - 304 - 2340X900X450MM","EXAUSTÃO","COIFAS","ENCOSTO","True","True","True"
"S150526","COIFA DE ENCOSTO C- FILTROS E ILUMINAÇÃO - 304 - 3000X900X450MM","D:\2022\EXAUSTÃO\COIFAS\ENCOSTO\S150526 - COIFA DE ENCOSTO C- FILTROS E ILUMINAÇÃO - 304 - 3000X900X450MM","EXAUSTÃO","COIFAS","ENCOSTO","True","True","True"
"S150610","COIFA DE ENCOSTO C FILTRO INOX 430 2340X900X450MM","D:\2022\EXAUSTÃO\COIFAS\ENCOSTO\S150610 - COIFA DE ENCOSTO C FILTRO INOX 430 2340X900X450MM","EXAUSTÃO","COIFAS","ENCOSTO","True","False","False"
"S150624","COIFA DE ENCOSTO C- FILTROS E ILUMINAÇÃO - 430 - 2340X900X450MM","D:\2022\EXAUSTÃO\COIFAS\ENCOSTO\S150624 - COIFA DE ENCOSTO C- FILTROS E ILUMINAÇÃO - 430 - 2340X900X450MM","EXAUSTÃO","COIFAS","ENCOSTO","True","True","True"
"S150625","COIFA DE ENCOSTO CFILTROS E ILUMINACAO-430- 2700X900X450 MM","D:\2022\EXAUSTÃO\COIFAS\ENCOSTO\S150625 - COIFA DE ENCOSTO CFILTROS E ILUMINACAO-430- 2700X900X450 MM","EXAUSTÃO","COIFAS","ENCOSTO","True","True","True"
"S150626","COIFA DE ENCOSTO C FILTRO E ILUMINAÇÃO - 430 300X900X450MM","D:\2022\EXAUSTÃO\COIFAS\ENCOSTO\S150626 - COIFA DE ENCOSTO C FILTRO E ILUMINAÇÃO - 430 300X900X450MM","EXAUSTÃO","COIFAS","ENCOSTO","True","True","True"
"S150628","COIFA DE CENTRO SFILTROS-INOX-430 -1260X1100X450 MM","D:\2022\EXAUSTÃO\COIFAS\CENTRO\S150628 - COIFA DE CENTRO SFILTROS-INOX-430 -1260X1100X450 MM","EXAUSTÃO","COIFAS","CENTRO","True","True","True"
"S150643","COIFA DE CENTRO CFILTROS E ILUMINACAO-430-1620X1100X450 MM","D:\2022\EXAUSTÃO\COIFAS\CENTRO\S150643 - COIFA DE CENTRO CFILTROS E ILUMINACAO-430-1620X1100X450 MM","EXAUSTÃO","COIFAS","CENTRO","True","True","True"
"S150659","COIFA DE CENTRO CFILTROS DUPLOS-INOX-430- 3000X1800X450 MM","D:\2022\EXAUSTÃO\COIFAS\CENTRO\S150659 - COIFA DE CENTRO CFILTROS DUPLOS-INOX-430- 3000X1800X450 MM","EXAUSTÃO","COIFAS","CENTRO","True","True","True"
