filePath,ext,sizeBytes,sizeMB,domain,relevanceScore,keywordHits
D:\INOXVAL\INOXVAL\01 - DIVERSOS\00 - ARQUIVOS PESSOAIS\GABRIEL\TABELA RESISTENCIA MANTA.xlsx,.xlsx,213972,0.204,outros,1,
D:\INOXVAL\INOXVAL\01 - DIVERSOS\00-COMPONENTES SOLIDWORKS\CATÁLOGOS\Tecnico - Portugues - Tomadas para aparelhos.pdf,.pdf,334557,0.319,outros,0,
D:\INOXVAL\INOXVAL\01 - DIVERSOS\00-COMPONENTES SOLIDWORKS\CATÁLOGOS\catalogo-completo CHANOT.pdf,.pdf,7684269,7.328,outros,0,
D:\INOXVAL\INOXVAL\01 - DIVERSOS\00-COMPONENTES SOLIDWORKS\CATÁLOGOS\FECHOS LINGUETA.pdf,.pdf,13690881,13.057,outros,0,
D:\INOXVAL\INOXVAL\01 - DIVERSOS\00-COMPONENTES SOLIDWORKS\FERRAMENTAS DE DOBRA\FACA-RET-001-1000.pdf,.pdf,98976,0.094,outros,1,dobra
D:\INOXVAL\INOXVAL\01 - DIVERSOS\01-GAVETEIRO GAVETAS E RODIZIO\O.S-0099-001-02.pdf,.pdf,107529,0.103,outros,0,
D:\INOXVAL\INOXVAL\01 - DIVERSOS\01-GAVETEIRO GAVETAS E RODIZIO\O.S-0099-001-01.pdf,.pdf,106990,0.102,outros,0,
D:\INOXVAL\INOXVAL\01 - DIVERSOS\01-GAVETEIRO GAVETAS E RODIZIO\O.S-0099-001-03.pdf,.pdf,107628,0.103,outros,0,
D:\INOXVAL\INOXVAL\01 - DIVERSOS\01-GAVETEIRO GAVETAS E RODIZIO\O.S-0099-001-06.pdf,.pdf,116570,0.111,outros,0,
D:\INOXVAL\INOXVAL\01 - DIVERSOS\01-GAVETEIRO GAVETAS E RODIZIO\O.S-0099-001-04.pdf,.pdf,102656,0.098,outros,0,
D:\INOXVAL\INOXVAL\01 - DIVERSOS\01-GAVETEIRO GAVETAS E RODIZIO\O.S-0099-001-05.pdf,.pdf,100946,0.096,outros,0,
D:\INOXVAL\INOXVAL\01 - DIVERSOS\01-GAVETEIRO GAVETAS E RODIZIO\O.S-0099-001-08.pdf,.pdf,99246,0.095,outros,0,
D:\INOXVAL\INOXVAL\01 - DIVERSOS\01-GAVETEIRO GAVETAS E RODIZIO\O.S-0099-001-09.pdf,.pdf,101119,0.096,outros,0,
D:\INOXVAL\INOXVAL\01 - DIVERSOS\01-GAVETEIRO GAVETAS E RODIZIO\O.S-0099-001-07.pdf,.pdf,103433,0.099,outros,0,
D:\INOXVAL\INOXVAL\01 - DIVERSOS\01-GAVETEIRO GAVETAS E RODIZIO\O.S-0099-001-11.pdf,.pdf,102114,0.097,outros,0,
D:\INOXVAL\INOXVAL\01 - DIVERSOS\01-GAVETEIRO GAVETAS E RODIZIO\O.S-0099-001-12.pdf,.pdf,103411,0.099,outros,0,
D:\INOXVAL\INOXVAL\01 - DIVERSOS\01-GAVETEIRO GAVETAS E RODIZIO\O.S-0099-M-001-200.pdf,.pdf,105024,0.1,outros,0,
D:\INOXVAL\INOXVAL\01 - DIVERSOS\01-GAVETEIRO GAVETAS E RODIZIO\O.S-0099-001-10.pdf,.pdf,99658,0.095,outros,0,
D:\INOXVAL\INOXVAL\01 - DIVERSOS\01-GAVETEIRO GAVETAS E RODIZIO\O.S-0099-M-001-1000.pdf,.pdf,178367,0.17,outros,0,
D:\INOXVAL\INOXVAL\01 - DIVERSOS\01-GAVETEIRO GAVETAS E RODIZIO\O.S-0099-M-001-300.pdf,.pdf,110004,0.105,outros,0,
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\LISTA DE PEÇAS - PADRÃO.xlsx,.xlsx,17375,0.017,outros,2,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\LISTa\LISTA DE PEÇAS - ALMOXARIFADO.pdf,.pdf,108719,0.104,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\LISTa\LISTA DE PEÇAS - CORTE (SERRALHERIA).pdf,.pdf,57780,0.055,outros,2,chapa; corte
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\LISTa\LISTA DE PEÇAS - CORTE A LASER.pdf,.pdf,100390,0.096,outros,3,chapa; laser; corte
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145.pdf,.pdf,286087,0.273,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-M01.pdf,.pdf,93994,0.09,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-M02.pdf,.pdf,133767,0.128,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-M03.pdf,.pdf,80294,0.077,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-M04.pdf,.pdf,82113,0.078,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC01.pdf,.pdf,55779,0.053,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC02.pdf,.pdf,55773,0.053,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC03.pdf,.pdf,58459,0.056,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC04.pdf,.pdf,57063,0.054,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC05.pdf,.pdf,56154,0.054,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC06.pdf,.pdf,56102,0.054,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC07.pdf,.pdf,64068,0.061,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC08.pdf,.pdf,61167,0.058,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC09.pdf,.pdf,62193,0.059,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC10.pdf,.pdf,62648,0.06,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC11.pdf,.pdf,59560,0.057,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC12.pdf,.pdf,59528,0.057,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC13.pdf,.pdf,69459,0.066,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC14.pdf,.pdf,57726,0.055,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC15.pdf,.pdf,61812,0.059,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC16.pdf,.pdf,59912,0.057,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC17.pdf,.pdf,62484,0.06,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC18.pdf,.pdf,58720,0.056,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC19.pdf,.pdf,67291,0.064,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC20.pdf,.pdf,62852,0.06,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC21.pdf,.pdf,58550,0.056,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PC22.pdf,.pdf,57438,0.055,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PT01.pdf,.pdf,63735,0.061,outros,1,chapa
D:\RICARDINHO\CHAPA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PDF'S\INSOL-145-PT02.pdf,.pdf,68216,0.065,outros,1,chapa
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\LISTA DE PEÇAS - PADRÃO.xlsx,.xlsx,17287,0.016,coccao,1,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\LISTA\LISTA DE PEÇAS - ALMOXARIFADO.pdf,.pdf,111971,0.107,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\LISTA\LISTA DE PEÇAS - CORTE (SERRALHERIA).pdf,.pdf,52550,0.05,coccao,1,corte
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\LISTA\LISTA DE PEÇAS - CORTE A LASER.pdf,.pdf,100400,0.096,coccao,2,laser; corte
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC01.pdf,.pdf,66910,0.064,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC02.pdf,.pdf,55903,0.053,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC03.pdf,.pdf,59659,0.057,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC04.pdf,.pdf,56533,0.054,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC05.pdf,.pdf,57967,0.055,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC06.pdf,.pdf,58266,0.056,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC07.pdf,.pdf,57159,0.055,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC08.pdf,.pdf,56018,0.053,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC09.pdf,.pdf,57153,0.055,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC10.pdf,.pdf,56129,0.054,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC11.pdf,.pdf,56076,0.053,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC12.pdf,.pdf,55861,0.053,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC13.pdf,.pdf,56655,0.054,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC14.pdf,.pdf,56485,0.054,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC15.pdf,.pdf,55580,0.053,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC16.pdf,.pdf,55599,0.053,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC17.pdf,.pdf,57633,0.055,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC18.pdf,.pdf,57042,0.054,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC19.pdf,.pdf,58703,0.056,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC20.pdf,.pdf,55874,0.053,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC21.pdf,.pdf,53459,0.051,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PC22.pdf,.pdf,56777,0.054,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PT01.pdf,.pdf,65035,0.062,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PT02.pdf,.pdf,58095,0.055,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-PT03.pdf,.pdf,57817,0.055,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725.pdf,.pdf,229711,0.219,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-M01.pdf,.pdf,121467,0.116,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-M02.pdf,.pdf,97261,0.093,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-M03.pdf,.pdf,78997,0.075,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-M04.pdf,.pdf,80653,0.077,coccao,0,
D:\RICARDINHO\FOGAO IND. INOX 6 BC 30X30 P7 6QD - ENC\PDF'S\INSOL-725-M05.pdf,.pdf,187799,0.179,coccao,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012298-VIDRO LOW-E TEC 15 6MM -950X423X6 TETO.PDF,.pdf,73510,0.07,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\VIDRO DUPLO.PDF,.pdf,61700,0.059,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012300-VIDRO  LOW-E TEC 15 6MM-417X266X6MM LATERAL DIR.PDF,.pdf,77654,0.074,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012297 - VIDRO INCOLOR 8MM TEMP. 1690X400.PDF,.pdf,52003,0.05,outros,0,
"D:\BIBLIOTECA DE PROJETOS\VIDROS\1012422 - PORTA DE VIDRO INCOLOR 6MM TEMP. 720,50X270,70 MM.pdf",.pdf,50068,0.048,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012291-FRONTAL VITRINE 1515X150X8MM.PDF,.pdf,61258,0.058,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012299-VIDRO LOW-E TEC 15 6MM- 950X266X6 FRENTE .PDF,.pdf,83370,0.08,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012424 -PORTA SLIM PVC PRETO 309 X 1400 LOW-E + INCOLOR.pdf,.pdf,125524,0.12,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012296 - VIDRO INCOLOR 8MM TEMP. 1220X400.PDF,.pdf,51259,0.049,outros,0,
"D:\BIBLIOTECA DE PROJETOS\VIDROS\1012421 - VIDRO INCOLOR 8MM TEMP. 2898,2X499 MM.pdf",.pdf,49259,0.047,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012292 - VIDRO INCOLOR TEMPERADO 500 X 2300 X 8 MM.PDF,.pdf,38278,0.037,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012423-PORTA DE VIDRO INCOLOR 228X270 LOW-E.pdf,.pdf,73408,0.07,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012425-VIDRO LOW-E TEC ESQ SERIG PRETA 6MM 535X318MM.pdf,.pdf,59487,0.057,outros,0,
"D:\BIBLIOTECA DE PROJETOS\VIDROS\1012290-VIDRO LOW-E TEC 15 6MM  458,9001548 (FRENTE) .PDF",.pdf,48366,0.046,outros,0,
"D:\BIBLIOTECA DE PROJETOS\VIDROS\1012288-VIDRO  LOW-E TEC 15 6MM 458,900X673 (LATERAL ESQ.).PDF",.pdf,77008,0.073,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012417 - VIDRO INCOLOR 8MM TEMP. 491X291 MM.pdf,.pdf,53642,0.051,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012280-VIDRO INCOLOR 8MM TEMPERADO 1810X120.PDF,.pdf,39850,0.038,outros,0,
"D:\BIBLIOTECA DE PROJETOS\VIDROS\1012419 - PORTA DE VIDRO INCOLOR 6MM TEMP. 650,50X270,70 MM.pdf",.pdf,50082,0.048,outros,0,
"D:\BIBLIOTECA DE PROJETOS\VIDROS\1012416 - VIDRO INCOLOR 8MM TEMP. 2618,2X291 MM.pdf",.pdf,49221,0.047,outros,0,
"D:\BIBLIOTECA DE PROJETOS\VIDROS\1012289-VIDRO  LOW-E TEC 15 6MM  458,900X673 (LATERAL DIR.).PDF",.pdf,78657,0.075,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012413-FRONTAL VITRINE 1915X1200X8MM.pdf,.pdf,39707,0.038,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012277 - PRATELEIRA DE VIDRO 300MM ( VITRINE 1000 AUTO S. ).PDF,.pdf,61340,0.058,movel_inox,0,
"D:\BIBLIOTECA DE PROJETOS\VIDROS\1012418 - VIDRO INCOLOR 8MM TEMP. 2618,2X499 MM.pdf",.pdf,49295,0.047,outros,0,
"D:\BIBLIOTECA DE PROJETOS\VIDROS\1012420 - VIDRO INCOLOR 8MM TEMP. 2898,2X291 MM.pdf",.pdf,48998,0.047,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012275 - PRATELEIRA DE VIDRO 400MM ( VITRINE 1000X780X1300 ).PDF,.pdf,61351,0.059,movel_inox,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012413-FRONTAL VITRINE 1915X120X8MM.pdf,.pdf,39769,0.038,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012272 - PRATELEIRA DE VIDRO 300MM ( VITRINE 1300 AUTO S. ).PDF,.pdf,60834,0.058,movel_inox,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012276-FRONTAL VITRINE 1000 ( VIT.AUTO SER.1000X780X1300.PDF,.pdf,60870,0.058,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012280-FRONTAL VITRINE 1300 ( VITRINE AUTO SERVIÇO 1300).PDF,.pdf,39634,0.038,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012410-VIDRO TEMPERADO PRATELEIRA-895X450X8MM.pdf,.pdf,44605,0.043,movel_inox,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012411-VIDRO LOW-E TEC 15 6MM  679x1548 (TETO).pdf,.pdf,47420,0.045,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012287-VIDRO LOW-E TEC 15 6MM  779x1548 (TETO).PDF,.pdf,74404,0.071,outros,0,
"D:\BIBLIOTECA DE PROJETOS\VIDROS\1012412-VIDRO LOW-E TEC 15 6MM  458,90x1948 (FRENTE) .pdf",.pdf,47614,0.045,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012404-VIDRO DA PRATELEIRA(VIDRO INCOLOR 8MM TEMP. 940 X 350 ).pdf,.pdf,39917,0.038,movel_inox,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012407 - VIDRO INCOLOR 500X600X4mm.pdf,.pdf,51476,0.049,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012399 - VIDRO INCOLOR TEMPERADO 1850 X 120 X 8MM.PDF,.pdf,59546,0.057,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012271-FRONTAL VITRINE 700 ( VITRINE AUTO SERVIÇO 1000).PDF,.pdf,60862,0.058,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012270 - PRATELEIRA DE VIDRO 350MM ( VITRINE 1000 AUTO S. ).PDF,.pdf,40175,0.038,movel_inox,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012403 - VIDRO LOW-E TEC 15 6MM  765x1948 (PA 05374) COD. TETO.pdf,.pdf,47820,0.046,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012273 - PRATELEIRA DE VIDRO 350MM ( VITRINE 1300 AUTO S. ).PDF,.pdf,39956,0.038,movel_inox,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012397 - VIDRO INCOLOR TEMPERADO 1780 X 400 X 8MM.PDF,.pdf,59630,0.057,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012398 - VIDRO INCOLOR TEMPERADO 2170 X 120 X 8MM.PDF,.pdf,58753,0.056,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012402 - VIDRO  LOW-E TEC 15 6MM  440X1948 (PA 05377) COD. FRENTE.pdf,.pdf,48652,0.046,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012267- PRATELEIRA DE VIDRO 350MM ( VITRINE 700 ).PDF,.pdf,60498,0.058,movel_inox,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012396-VIDRO INCOLOR TEMPERADO 1530 X 120 X 8MM.PDF,.pdf,61225,0.058,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012391-FRONTAL VITRINE AUTO SERVIÇO-630X100X8MM.PDF,.pdf,60871,0.058,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012268 - PRATELEIRA DE VIDRO 400MM ( VITRINE 700 ).PDF,.pdf,39918,0.038,movel_inox,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012394 - VIDRO INCOLOR TEMPERADO 400 X 840 X 8 MM.PDF,.pdf,59530,0.057,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012271-FRONTAL VITRINE ( VITRINE AUTO SERVIÇO 1000).PDF,.pdf,39590,0.038,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012393-VIDRO TEMPERADO VISOR VITRINE -55X55X6MM.PDF,.pdf,61189,0.058,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012395-VIDRO INCOLOR TEMPERADO 840 X 120 X 8 MM.PDF,.pdf,61221,0.058,outros,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012265 - PRATELEIRA DE VIDRO 350MM ( VITRINE 1300 ).PDF,.pdf,60497,0.058,movel_inox,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012266 - PRATELEIRA DE VIDRO 400MM ( VITRINE 1300 ).PDF,.pdf,40271,0.038,movel_inox,0,
D:\BIBLIOTECA DE PROJETOS\VIDROS\1012386-VIDRO INCOLOR 8MM TEMP. 1194X150MM.PDF,.pdf,59846,0.057,outros,0,
